id,customer_id,address,is_default,created_at,updated_at
1,1,"089 Daniels Shoals Apt. 193
Port Meganstad, MP 83422",True,2025-02-08 20:35:59.903064,2025-02-08 20:35:59.903064
2,1,"96754 Tina Trail Suite 480
Jamesside, MS 82233",False,2025-02-08 20:35:59.903064,2025-02-08 20:35:59.903064
3,2,"5308 Aaron Gateway Suite 542
West Zachary, AR 37416",True,2025-05-07 18:32:31.118890,2025-05-07 18:32:31.118890
4,2,"250 Joanne Overpass Suite 974
West Molly, OK 07289",False,2025-05-07 18:32:31.118890,2025-05-07 18:32:31.118890
5,3,"18278 Perez Plaza Apt. 211
Sandrashire, RI 42350",True,2025-04-02 00:40:38.374758,2025-04-02 00:40:38.374758
6,3,"Unit 6340 Box 4044
DPO AE 33280",False,2025-04-02 00:40:38.374758,2025-04-02 00:40:38.374758
7,4,"561 Timothy Circle Suite 229
Amberberg, CA 55866",True,2025-04-07 14:30:32.016523,2025-04-07 14:30:32.016523
8,4,"05254 Bates Center Suite 322
South Lisa, DC 95852",False,2025-04-07 14:30:32.016523,2025-04-07 14:30:32.016523
9,5,"312 Glenn Crossroad Apt. 765
Andrewburgh, WY 32392",True,2025-08-03 19:52:11.778803,2025-08-03 19:52:11.778803
10,5,"4808 Rachael Creek
Smithview, DE 47202",False,2025-08-03 19:52:11.778803,2025-08-03 19:52:11.778803
11,6,"825 Savage Alley
Williamsstad, LA 21177",True,2025-02-03 11:35:35.600343,2025-02-03 11:35:35.600343
12,6,"945 Hill Pine Apt. 930
Bowersstad, PR 71301",False,2025-02-03 11:35:35.600343,2025-02-03 11:35:35.600343
13,7,"9470 Kathryn Trace
Bridgetstad, SC 19812",True,2025-03-02 06:16:07.815372,2025-03-02 06:16:07.815372
14,8,"14642 Paul Valleys Apt. 857
Lake Lindsey, LA 84114",True,2025-01-27 00:30:06.848017,2025-01-27 00:30:06.848017
15,9,"404 Pearson Route Suite 174
New Kerri, DC 79034",True,2025-02-09 07:08:26.413223,2025-02-09 07:08:26.413223
16,10,"785 Valdez Harbors
South Tarashire, NY 29131",True,2025-08-25 03:22:29.961455,2025-08-25 03:22:29.961455
17,11,"PSC 5730, Box 5726
APO AA 78417",True,2025-04-22 07:54:21.444595,2025-04-22 07:54:21.444595
18,12,"5764 Gibson Lane
Port Brianbury, IL 59380",True,2025-09-25 10:20:17.578944,2025-09-25 10:20:17.578944
